year,state,n_cause_name,deaths,age_adjusted_death_rate
1999,Alabama,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",2313,52.2
1999,Alabama,All Causes,44806,1009.3
1999,Alabama,Alzheimer's disease (G30),772,17.8
1999,Alabama,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",438,9.9
1999,Alabama,Cerebrovascular diseases (I60-I69),3148,71.5
1999,Alabama,"Chronic liver disease and cirrhosis (K70,K73-K74)",412,9.2
1999,Alabama,Chronic lower respiratory diseases (J40-J47),2179,48.6
1999,Alabama,Diabetes mellitus (E10-E14),1341,30
1999,Alabama,"Diseases of heart (I00-I09,I11,I13,I20-I51)",13419,303
1999,Alabama,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",313,7.1
1999,Alabama,Influenza and pneumonia (J09-J18),1228,28.2
1999,Alabama,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",555,12.5
1999,Alabama,Malignant neoplasms (C00-C97),9506,210.9
1999,Alabama,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",979,22.2
1999,Alabama,Parkinson's disease (G20-G21),207,4.7
1999,Alabama,Pneumonitis due to solids and liquids (J69),306,7
1999,Alabama,Septicemia (A40-A41),691,15.6
1999,Alaska,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",294,55.9
1999,Alaska,All Causes,2708,838.9
1999,Alaska,Alzheimer's disease (G30),24,11.9
1999,Alaska,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",51,8.1
1999,Alaska,Cerebrovascular diseases (I60-I69),171,71.2
1999,Alaska,"Chronic liver disease and cirrhosis (K70,K73-K74)",46,9.9
1999,Alaska,Chronic lower respiratory diseases (J40-J47),146,56.4
1999,Alaska,Diabetes mellitus (E10-E14),67,23.8
1999,Alaska,"Diseases of heart (I00-I09,I11,I13,I20-I51)",563,198
1999,Alaska,Influenza and pneumonia (J09-J18),46,19.6
1999,Alaska,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",96,16.8
1999,Alaska,Malignant neoplasms (C00-C97),633,190.5
1999,Alaska,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",34,13.4
1999,Alaska,Parkinson's disease (G20-G21),15,NA
1999,Alaska,Pneumonitis due to solids and liquids (J69),10,NA
1999,Alaska,Septicemia (A40-A41),27,8.8
1999,Arizona,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",2214,44.8
1999,Arizona,All Causes,40050,818.4
1999,Arizona,Alzheimer's disease (G30),963,20.8
1999,Arizona,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",470,9.2
1999,Arizona,Cerebrovascular diseases (I60-I69),2600,54.4
1999,Arizona,"Chronic liver disease and cirrhosis (K70,K73-K74)",653,13.4
1999,Arizona,Chronic lower respiratory diseases (J40-J47),2553,51.2
1999,Arizona,Diabetes mellitus (E10-E14),1063,21.5
1999,Arizona,"Diseases of heart (I00-I09,I11,I13,I20-I51)",10800,223.1
1999,Arizona,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",240,5
1999,Arizona,Influenza and pneumonia (J09-J18),1287,27.2
1999,Arizona,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",766,15.5
1999,Arizona,Malignant neoplasms (C00-C97),9006,179.9
1999,Arizona,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",544,11.1
1999,Arizona,Parkinson's disease (G20-G21),357,7.4
1999,Arizona,Pneumonitis due to solids and liquids (J69),218,4.6
1999,Arizona,Septicemia (A40-A41),346,7
1999,Arkansas,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1287,47.6
1999,Arkansas,All Causes,27925,975.3
1999,Arkansas,Alzheimer's disease (G30),434,14.8
1999,Arkansas,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",179,6.8
1999,Arkansas,Cerebrovascular diseases (I60-I69),2255,77.7
1999,Arkansas,"Chronic liver disease and cirrhosis (K70,K73-K74)",218,8
1999,Arkansas,Chronic lower respiratory diseases (J40-J47),1358,46.8
1999,Arkansas,Diabetes mellitus (E10-E14),691,24.2
1999,Arkansas,"Diseases of heart (I00-I09,I11,I13,I20-I51)",8315,287.8
1999,Arkansas,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",150,5.3
1999,Arkansas,Influenza and pneumonia (J09-J18),741,25.5
1999,Arkansas,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",336,12.6
1999,Arkansas,Malignant neoplasms (C00-C97),6137,214.1
1999,Arkansas,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",458,15.9
1999,Arkansas,Parkinson's disease (G20-G21),133,4.6
1999,Arkansas,Pneumonitis due to solids and liquids (J69),157,5.4
1999,Arkansas,Septicemia (A40-A41),475,16.5
1999,California,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",9198,28.7
1999,California,All Causes,229380,802.3
1999,California,Alzheimer's disease (G30),4532,16.6
1999,California,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",2066,6
1999,California,Cerebrovascular diseases (I60-I69),17962,64.5
1999,California,"Chronic liver disease and cirrhosis (K70,K73-K74)",3572,11.9
1999,California,Chronic lower respiratory diseases (J40-J47),13165,46.9
1999,California,Diabetes mellitus (E10-E14),6401,22.5
1999,California,"Diseases of heart (I00-I09,I11,I13,I20-I51)",71930,257.3
1999,California,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",2029,7.3
1999,California,Influenza and pneumonia (J09-J18),4560,16.5
1999,California,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",3077,9.6
1999,California,Malignant neoplasms (C00-C97),53067,184.9
1999,California,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",2261,8
1999,California,Parkinson's disease (G20-G21),1577,5.7
1999,California,Pneumonitis due to solids and liquids (J69),355,1.3
1999,California,Septicemia (A40-A41),756,2.7
1999,Colorado,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1519,39
1999,Colorado,All Causes,27114,801.8
1999,Colorado,Alzheimer's disease (G30),756,24.5
1999,Colorado,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",199,4.5
1999,Colorado,Cerebrovascular diseases (I60-I69),1834,57.2
1999,Colorado,"Chronic liver disease and cirrhosis (K70,K73-K74)",391,9.9
1999,Colorado,Chronic lower respiratory diseases (J40-J47),1894,58.1
1999,Colorado,Diabetes mellitus (E10-E14),639,19.2
1999,Colorado,"Diseases of heart (I00-I09,I11,I13,I20-I51)",6420,196.3
1999,Colorado,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",154,4.8
1999,Colorado,Influenza and pneumonia (J09-J18),807,25.3
1999,Colorado,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",574,13.7
1999,Colorado,Malignant neoplasms (C00-C97),5863,171.1
1999,Colorado,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",312,9.6
1999,Colorado,Parkinson's disease (G20-G21),186,5.9
1999,Colorado,Pneumonitis due to solids and liquids (J69),211,6.7
1999,Colorado,Septicemia (A40-A41),264,7.8
1999,Connecticut,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",1034,29.3
1999,Connecticut,All Causes,29446,783.2
1999,Connecticut,Alzheimer's disease (G30),449,11.4
1999,Connecticut,"Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",120,3.7
1999,Connecticut,Cerebrovascular diseases (I60-I69),1933,50
1999,Connecticut,"Chronic liver disease and cirrhosis (K70,K73-K74)",301,8.4
1999,Connecticut,Chronic lower respiratory diseases (J40-J47),1435,37.8
1999,Connecticut,Diabetes mellitus (E10-E14),691,18.5
1999,Connecticut,"Diseases of heart (I00-I09,I11,I13,I20-I51)",9127,238.8
1999,Connecticut,"Essential hypertension and hypertensive renal disease (I10,I12,I15)",239,6.2
1999,Connecticut,Influenza and pneumonia (J09-J18),885,22.7
1999,Connecticut,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",274,7.9
