year,cause_name,state,deaths,age_adjusted_death_rate
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,2313,52.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,294,55.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,2214,44.8
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,1287,47.6
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,9198,28.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,1519,39
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,1034,29.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,267,35.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,161,28.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,5961,35.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,3078,41.5
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,293,24.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,597,48.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,4125,33.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,2309,38.4
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,1123,35.2
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,1126,40.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,1730,43.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,1940,44.7
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,458,34.9
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,1296,25.9
