113 Cause Name,Cause Name,State,Age-adjusted Death Rate,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Accidents ,Unintentional Injuries,Alabama,46.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2283,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,47,NA,2093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2329,NA,NA
Accidents ,Unintentional Injuries,Alabama,48.3,NA,NA,NA,NA,2179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2351,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,49.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2463,NA
Accidents ,Unintentional Injuries,Alabama,49.5,NA,NA,2211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,49.6,NA,NA,NA,2228,NA,NA,NA,NA,NA,NA,NA,2394,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2552
Accidents ,Unintentional Injuries,Alabama,51.9,NA,NA,NA,NA,NA,NA,2395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,52.2,2313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2509,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,53,NA,NA,NA,NA,NA,2403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,53.8,NA,NA,NA,NA,NA,NA,NA,NA,2542,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,54,NA,NA,NA,NA,NA,NA,NA,2506,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alabama,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2662,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,50.8,NA,NA,NA,NA,NA,NA,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,52.3,NA,NA,NA,NA,NA,NA,NA,316,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,353,NA,NA
Accidents ,Unintentional Injuries,Alaska,53.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,54.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,332,NA,NA,NA,368,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,NA
Accidents ,Unintentional Injuries,Alaska,55.4,NA,NA,NA,NA,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,55.9,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,56,NA,NA,NA,NA,NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,56.4,NA,NA,NA,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,57.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388
Accidents ,Unintentional Injuries,Alaska,58.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,59.2,NA,NA,NA,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,60.5,NA,NA,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Alaska,64.5,NA,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,44.8,2214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,45.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3029,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2919,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,46.3,NA,2326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,46.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3018,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3096,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3322,NA
Accidents ,Unintentional Injuries,Arizona,47.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2956,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,47.6,NA,NA,2475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,48.6,NA,NA,NA,2577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3349,NA,NA
Accidents ,Unintentional Injuries,Arizona,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3539
Accidents ,Unintentional Injuries,Arizona,49.3,NA,NA,NA,NA,NA,2770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,49.8,NA,NA,NA,NA,2697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,51.9,NA,NA,NA,NA,NA,NA,NA,NA,3161,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,54.7,NA,NA,NA,NA,NA,NA,3150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arizona,56,NA,NA,NA,NA,NA,NA,NA,3352,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373,NA,NA
Accidents ,Unintentional Injuries,Arkansas,46.5,NA,1267,1277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,46.9,NA,NA,NA,NA,1304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,47,NA,NA,NA,NA,NA,NA,1329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,47.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1458,NA
Accidents ,Unintentional Injuries,Arkansas,47.6,1287,NA,NA,1311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,47.8,NA,NA,NA,NA,NA,NA,NA,NA,1391,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,49.4,NA,NA,NA,NA,NA,NA,NA,1415,NA,NA,NA,1461,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,49.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1538
Accidents ,Unintentional Injuries,Arkansas,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1521,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,50.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1473,NA,1510,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Arkansas,50.6,NA,NA,NA,NA,NA,1406,NA,NA,NA,1477,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,24.5,NA,NA,8132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,26.5,NA,8577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,27.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10435,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10906,NA,NA,NA
Accidents ,Unintentional Injuries,California,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10824,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,28.7,9198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11538,11804,NA
Accidents ,Unintentional Injuries,California,29.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10860,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10761,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,30.1,NA,NA,NA,10107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12544
Accidents ,Unintentional Injuries,California,30.7,NA,NA,NA,NA,10471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,30.8,NA,NA,NA,NA,NA,10633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,31.7,NA,NA,NA,NA,NA,NA,11129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,32.1,NA,NA,NA,NA,NA,NA,NA,11375,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,California,32.3,NA,NA,NA,NA,NA,NA,NA,NA,11614,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,39,1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,41.6,NA,NA,1720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,42.1,NA,NA,NA,NA,NA,1810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,42.4,NA,NA,NA,NA,1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,42.5,NA,NA,NA,NA,NA,NA,NA,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,42.6,NA,1702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,43.1,NA,NA,NA,1812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2106,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,44.1,NA,NA,NA,NA,NA,NA,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2144,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,44.8,NA,NA,NA,NA,NA,NA,NA,NA,2056,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,46.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2172,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2422,NA,NA
Accidents ,Unintentional Injuries,Colorado,46.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2330,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Colorado,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2403,NA,2517,NA
Accidents ,Unintentional Injuries,Colorado,49.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2725
Accidents ,Unintentional Injuries,Connecticut,29.3,1034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,29.5,NA,NA,1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,30.2,NA,NA,NA,NA,1112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,30.3,NA,NA,NA,NA,NA,NA,1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,32.5,NA,NA,NA,1182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,32.8,NA,1175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Accidents ,Unintentional Injuries,Connecticut,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1293,NA,NA,NA,NA,NA,NA
